long,lat,CATEGORY
6636124.578,1959373.054,Auto Theft
6650682.108,1963191.966,Auto Theft
6633018.301,1966636.996,Auto Theft
6649279.552,1964657.754,Auto Theft
6637509.621,1960770.183,Auto Theft
6636124.578,1959373.054,Auto Theft
6647755.835,1962011.101,Auto Theft
6636236.501,1960376.874,Auto Theft
6639223.985,1958559.847,Auto Theft
6630206.152,1960889.843,Auto Theft
6649279.026,1961835.827,Auto Theft
6639223.985,1958559.847,Auto Theft
6622474.377,1963107.724,Auto Theft
6636003.075,1959859.409,Auto Theft
6641399.000,1959369.854,Auto Theft
6642906.152,1960463.704,Auto Theft
6630799.197,1966597.263,Auto Theft
6650015.072,1963173.444,Auto Theft
6639223.985,1958559.847,Auto Theft
6640476.144,1958528.133,Auto Theft
6630665.548,1966637.878,Auto Theft
6628634.195,1968120.561,Auto Theft
6630667.339,1962671.360,Auto Theft
6633532.367,1966527.014,Auto Theft
6644630.457,1965805.362,Auto Theft
6625911.116,1963469.291,Auto Theft
6623558.225,1961791.482,Auto Theft
6626632.232,1964370.287,Auto Theft
6628630.086,1967326.420,Auto Theft
6636136.763,1960953.044,Auto Theft
6649279.026,1961835.827,Auto Theft
6622443.038,1964209.701,Auto Theft
6623445.719,1962629.981,Auto Theft
6638478.580,1959084.847,Commercial Burglary
6630206.152,1960889.843,Commercial Burglary
6647442.771,1965702.727,Commercial Burglary
6634120.791,1959529.494,Commercial Burglary
6637509.621,1960770.183,Commercial Burglary
6649213.147,1962488.571,Commercial Burglary
6649043.195,1962320.861,Commercial Burglary
6639223.985,1958559.847,Commercial Burglary
6626710.960,1966629.847,Commercial Burglary
6646870.435,1962539.463,Commercial Burglary
6649041.238,1962367.832,Commercial Burglary
6647242.386,1962650.160,Commercial Burglary
6630746.067,1965848.620,Commercial Burglary
6628622.107,1966188.884,Commercial Burglary
6649043.195,1962320.861,Commercial Burglary
6630746.067,1965848.620,Commercial Burglary
6628321.955,1966191.355,Commercial Burglary
6628890.793,1961582.699,Commercial Burglary
6636392.919,1958813.555,Commercial Burglary
6636216.838,1959850.579,Commercial Burglary
6642723.818,1962910.782,Commercial Burglary
6649041.238,1962367.832,Commercial Burglary
6647478.032,1961979.435,Commercial Burglary
6636630.970,1960446.877,Commercial Burglary
6639193.916,1960572.136,Commercial Burglary
6649041.238,1962367.832,Commercial Burglary
6632796.386,1964362.036,Commercial Burglary
6628522.056,1966189.708,Commercial Burglary
6636392.919,1958813.555,Commercial Burglary
6635061.179,1964825.448,Commercial Burglary
6635007.337,1960116.009,Commercial Burglary
6637705.630,1966421.893,Commercial Burglary
6630935.417,1960873.750,Commercial Burglary
6636355.869,1958766.120,Commercial Burglary
6635570.897,1963205.707,Drunk in Public
6636226.804,1959852.646,Drunk in Public
6635778.762,1959430.340,Drunk in Public
6635491.730,1959695.796,Drunk in Public
6635325.114,1960143.047,Drunk in Public
6636305.119,1959990.549,Drunk in Public
6626335.498,1963484.875,Drunk in Public
6648232.318,1963846.039,Commercial Burglary
6648232.318,1963846.039,Commercial Burglary
6628246.073,1968977.927,Commercial Burglary
6642121.262,1967283.605,Commercial Burglary
6637478.555,1959760.501,Commercial Burglary
6630746.067,1965848.620,Commercial Burglary
6639502.266,1963432.873,Commercial Burglary
6632796.386,1964362.036,Commercial Burglary
6635322.316,1960183.407,Commercial Burglary
6630699.242,1965564.160,Commercial Burglary
6637705.630,1966421.893,Commercial Burglary
6637792.876,1963338.169,Commercial Burglary
6628522.056,1966189.708,Commercial Burglary
6637705.630,1966421.893,Commercial Burglary
6635212.846,1959629.104,Commercial Burglary
6634617.018,1966318.515,Commercial Burglary
6629059.231,1961340.464,Commercial Burglary
6649041.238,1962367.832,Commercial Burglary
6639675.846,1959492.681,Commercial Burglary
6630206.152,1960889.843,Commercial Burglary
6637501.656,1966312.764,Commercial Burglary
6629561.990,1961611.951,Commercial Burglary
6630665.548,1966637.878,Commercial Burglary
6636481.640,1960943.659,Commercial Burglary
6622829.234,1965917.497,Commercial Burglary
6639553.849,1961784.218,Commercial Burglary
6636322.897,1960091.408,Commercial Burglary
6644435.699,1962684.441,Commercial Burglary
6635891.526,1964426.223,Commercial Burglary
6635844.682,1959321.985,Commercial Burglary
6632744.901,1966482.426,Commercial Burglary
6630935.417,1960873.750,Commercial Burglary
6649043.195,1962320.861,Commercial Burglary
6630746.067,1965848.620,Commercial Burglary
6649043.195,1962320.861,Commercial Burglary
6628321.955,1966191.355,Commercial Burglary
6628622.107,1966188.884,Commercial Burglary
6635959.163,1960047.040,Commercial Burglary
6640558.421,1958723.413,Commercial Burglary
6636219.491,1960565.633,Commercial Burglary
6635212.846,1959629.104,Commercial Burglary
6649041.238,1962367.832,Commercial Burglary
6645937.483,1961568.636,Commercial Burglary
6636459.936,1958846.788,Commercial Burglary
6635603.538,1960383.202,Commercial Burglary
6632796.386,1964362.036,Commercial Burglary
6637705.630,1966421.893,Commercial Burglary
6638939.184,1961781.883,Commercial Burglary
6644865.911,1964008.477,Commercial Burglary
6635044.726,1959766.136,Commercial Burglary
6637550.962,1962933.472,Commercial Burglary
6648232.318,1963846.039,Commercial Burglary
6626674.893,1966068.885,Commercial Burglary
6648822.078,1961821.649,Commercial Burglary
6638939.184,1961781.883,Commercial Burglary
6629877.247,1960901.522,Commercial Burglary
6642928.492,1962573.155,Commercial Burglary
6626710.960,1966629.847,Commercial Burglary
6639409.095,1968363.040,Commercial Burglary
6628630.086,1967326.420,Commercial Burglary
6630617.283,1960875.244,Commercial Burglary
6639666.369,1959583.426,Commercial Burglary
6622391.045,1963711.207,Commercial Burglary
6634872.076,1960569.394,Commercial Burglary
6648232.318,1963846.039,Commercial Burglary
6648258.907,1963917.767,Commercial Burglary
6630403.495,1960882.835,Commercial Burglary
6626710.960,1966629.847,Commercial Burglary
6622829.234,1965917.497,Commercial Burglary
6635532.194,1959207.679,Commercial Burglary
6648232.318,1963846.039,Commercial Burglary
6636520.218,1958969.792,Commercial Burglary
6642918.247,1961860.850,Commercial Burglary
6635532.194,1959207.679,Commercial Burglary
6636118.293,1959562.445,Commercial Burglary
6634642.001,1966138.626,Commercial Burglary
6646199.990,1963416.818,Commercial Burglary
6643269.641,1962890.125,Commercial Burglary
6637705.630,1966421.893,Commercial Burglary
6639711.748,1959124.147,Commercial Burglary
6636292.401,1960045.669,Commercial Burglary
6636349.923,1959919.254,Commercial Burglary
6647242.386,1962650.160,Commercial Burglary
6629804.178,1961723.519,Commercial Burglary
6630241.260,1966600.782,Commercial Burglary
6626718.234,1966161.211,Commercial Burglary
6635532.194,1959207.679,Commercial Burglary
6634254.256,1962496.532,Commercial Burglary
6626710.960,1966629.847,Commercial Burglary
6633553.497,1966510.540,Commercial Burglary
6634991.767,1960181.615,Commercial Burglary
6634872.076,1960569.394,Commercial Burglary
6635603.538,1960383.202,Commercial Burglary
6635046.784,1962660.189,Commercial Burglary
6639711.748,1959124.147,Commercial Burglary
6639647.415,1959764.918,Commercial Burglary
6644454.906,1962330.116,Commercial Burglary
6646199.990,1963416.818,Commercial Burglary
6630241.260,1966600.782,Commercial Burglary
6635693.995,1959801.121,Commercial Burglary
6626763.471,1966628.937,Commercial Burglary
6637705.630,1966421.893,Commercial Burglary
6637705.630,1966421.893,Commercial Burglary
6635461.276,1959689.393,Commercial Burglary
6622785.691,1961755.069,Commercial Burglary
6635884.659,1962075.269,Commercial Burglary
6649041.238,1962367.832,Commercial Burglary
6636149.079,1960899.032,Commercial Burglary
6633726.062,1964424.517,Commercial Burglary
6634200.999,1962466.123,Drunk in Public
6636322.897,1960091.408,Drunk in Public
6635381.521,1961183.167,Drunk in Public
6648329.051,1965413.909,Drunk in Public
6634994.501,1961569.248,Drunk in Public
6636305.119,1959990.549,Drunk in Public
6636322.897,1960091.408,Drunk in Public
6636322.897,1960091.408,Drunk in Public
6636322.897,1960091.408,Drunk in Public
6627267.263,1961466.429,Drunk in Public
6636322.897,1960091.408,Drunk in Public
6626718.234,1966161.211,Drunk in Public
6635678.264,1959872.426,Drunk in Public
6649382.776,1962667.180,Drunk in Public
6635491.730,1959695.796,Drunk in Public
6638086.336,1966613.466,Drunk in Public
6639644.999,1963461.376,Drunk in Public
6638620.519,1962230.991,Drunk in Public
6635099.000,1959621.125,Drunk in Public
6636236.501,1960376.874,Drunk in Public
6636236.501,1960376.874,Drunk in Public
6636548.209,1960470.206,Drunk in Public
6639768.701,1957895.447,Drunk in Public
6632825.071,1964069.852,Drunk in Public
6648329.051,1965413.909,Drunk in Public
6630206.152,1960889.843,Drunk in Public
6633726.062,1964424.517,Drunk in Public
6635778.762,1959430.340,Drunk in Public
6636322.897,1960091.408,Drunk in Public
6622789.589,1966038.684,Drunk in Public
6636235.734,1965751.675,Drunk in Public
6649354.048,1962593.912,Drunk in Public
6626710.960,1966629.847,Drunk in Public
6635402.068,1959813.434,Drunk in Public
6634129.001,1959403.249,Drunk in Public
6639422.500,1964406.877,Drunk in Public
6627569.744,1966607.912,Drunk in Public
6626710.960,1966629.847,Drunk in Public
6637976.980,1961768.120,Drunk in Public
6624615.498,1962011.625,Drunk in Public
6636014.799,1965799.544,Drunk in Public
6636226.804,1959852.646,Drunk in Public
6638668.936,1964404.337,Drunk in Public
6636322.897,1960091.408,Drunk in Public
6630123.926,1960892.763,Drunk in Public
6635722.499,1959764.751,Drunk in Public
6636320.777,1960100.595,Drunk in Public
6636322.897,1960091.408,Drunk in Public
6636855.371,1964872.787,Drunk in Public
6626710.960,1966629.847,Drunk in Public
6641539.269,1963815.335,Drunk in Public
6639726.559,1963156.686,Drunk in Public
6635603.538,1960383.202,Drunk in Public
6622789.589,1966038.684,Drunk in Public
6644470.316,1966309.872,Drunk in Public
6629118.000,1965550.751,Drunk in Public
6636034.001,1961313.750,Drunk in Public
6636320.777,1960100.595,Drunk in Public
6644465.499,1962292.750,Drunk in Public
6635095.000,1961100.000,Drunk in Public
6636322.030,1958787.778,Drunk in Public
6650797.048,1962471.271,Drunk in Public
6634835.861,1963316.770,Drunk in Public
6630123.926,1960892.763,Drunk in Public
6637979.091,1961727.710,Drunk in Public
6637178.500,1962227.271,Drunk in Public
6635053.128,1959730.022,Drunk in Public
6633726.062,1964424.517,Drunk in Public
6626710.960,1966629.847,Drunk in Public
6635921.000,1960297.876,Drunk in Public
6639509.976,1958580.721,Drunk in Public
6637609.001,1961671.626,Drunk in Public
6635532.194,1959207.679,Drunk in Public
6630749.200,1965979.437,Drunk in Public
6632411.908,1963026.867,Drunk in Public
6630733.501,1966159.251,Drunk in Public
6634120.791,1959529.494,Drunk in Public
6636305.119,1959990.549,Drunk in Public
6636826.950,1964911.347,Drunk in Public
6635674.332,1959890.253,Drunk in Public
6634422.267,1959567.016,Drunk in Public
6630930.374,1963913.058,Drunk in Public
6651723.200,1963148.441,Drunk in Public
6631209.557,1960876.264,Drunk in Public
6649111.001,1964640.126,Drunk in Public
6635778.762,1959430.340,Drunk in Public
6636226.956,1960529.777,Drunk in Public
6636376.845,1959884.540,Drunk in Public
6635722.499,1959764.751,Drunk in Public
6636322.897,1960091.408,Drunk in Public
6639736.213,1962744.111,Drunk in Public
6636118.293,1959562.445,Drunk in Public
6630206.152,1960889.843,Drunk in Public
6638623.472,1967664.882,Drunk in Public
6640124.130,1961024.734,Drunk in Public
6628902.502,1964497.751,Drunk in Public
6636300.880,1960008.922,Drunk in Public
6635990.528,1959913.018,Drunk in Public
6636236.501,1960376.874,Drunk in Public
6634200.999,1962466.123,Drunk in Public
6635717.501,1961243.500,Drunk in Public
6636352.868,1959919.954,Drunk in Public
6635491.730,1959695.796,Drunk in Public
6635491.730,1959695.796,Drunk in Public
6633726.062,1964424.517,Drunk in Public
6636415.125,1959893.643,Drunk in Public
6627572.789,1966531.648,Drunk in Public
6630206.152,1960889.843,Drunk in Public
6635405.000,1959697.998,Drunk in Public
6630241.260,1966600.782,Drunk in Public
6637563.000,1962302.751,Drunk in Public
6649041.238,1962367.832,Drunk in Public
6640628.442,1958785.429,Drunk in Public
6636226.956,1960529.777,Drunk in Public
6636198.749,1959887.679,Drunk in Public
6636091.617,1960361.152,Drunk in Public
6634680.499,1960018.375,Drunk in Public
6634458.680,1958986.155,Drunk in Public
6626710.960,1966629.847,Drunk in Public
6632490.030,1965251.052,Drunk in Public
6636320.777,1960100.595,Drunk in Public
